[2026-02-18 12:45:59,136] [INFO] Folder watcher detected new file 'C:\Users\LENOVO\AppData\Local\Temp\tmpk7t50tm_\new_file.txt'
[2026-02-18 12:45:59,638] [INFO] Stopped folder watcher
[2026-02-18 12:45:59,638] [INFO] Stopped folder watcher
[2026-02-18 12:46:00,316] [WARNING] Integrity verification failed for 'C:\Users\LENOVO\AppData\Local\Temp\tmpkjf8w9y3\hash3.txt' (expected wrong, got ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad)
[2026-02-18 12:46:00,839] [INFO] Encrypted file 'rsa.txt' with RSA hybrid
[2026-02-18 12:46:00,868] [INFO] Decrypted file 'rsa.txt.enc' with RSA hybrid
[2026-02-18 12:46:02,978] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmp6bgfusxf\plain.bin' with RSA hybrid
[2026-02-18 12:46:03,006] [INFO] Decrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmp6bgfusxf\plain.bin.enc' with RSA hybrid
[2026-02-18 12:46:04,301] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmpzb3irj_m\plain2.txt' with RSA hybrid
[2026-02-18 12:46:04,322] [INFO] Decrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmpzb3irj_m\plain2.txt.enc' with RSA hybrid
[2026-02-18 12:47:05,268] [INFO] Encrypted file 'aes_test.txt' with AES-256
[2026-02-18 12:47:05,469] [INFO] Decrypted file 'aes_test.txt.enc' with AES-256
[2026-02-18 12:47:05,672] [INFO] Encrypted file 'aes_test.txt' with AES-256
[2026-02-18 12:47:05,886] [INFO] Encrypted file 'aes_test.txt' with AES-256
[2026-02-18 12:47:06,066] [INFO] Encrypted file 'aes_test.txt' with AES-256
[2026-02-18 12:47:06,265] [ERROR] Failed to decrypt 'aes_test.txt.enc' with AES-256 (authentication error)
[2026-02-18 12:47:06,463] [INFO] Encrypted file 'chacha.txt' with ChaCha20
[2026-02-18 12:47:06,661] [ERROR] Failed to decrypt 'chacha.txt.enc' with ChaCha20 (authentication error)
[2026-02-18 12:47:06,854] [INFO] Encrypted file 'chacha.txt' with ChaCha20
[2026-02-18 12:47:07,063] [INFO] Decrypted file 'chacha.txt.enc' with ChaCha20
[2026-02-18 12:47:07,243] [INFO] Encrypted file 'chacha.txt' with ChaCha20
[2026-02-18 12:47:07,425] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmpc561l6mq\plain.txt' with AES-256
[2026-02-18 12:47:07,639] [INFO] Decrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmpc561l6mq\plain.txt.enc' with AES-256
[2026-02-18 12:47:07,832] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmppb4ynvtk\plain.txt' with ChaCha20
[2026-02-18 12:47:08,020] [INFO] Decrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmppb4ynvtk\plain.txt.enc' with ChaCha20
[2026-02-18 12:47:08,234] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmpwxnlmqe_\plain.txt' with AES-256
[2026-02-18 12:47:08,437] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmpwxnlmqe_\plain.txt' with AES-256
[2026-02-18 12:47:08,675] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmp6lud8vwr\plain.txt' with AES-256
[2026-02-18 12:47:08,896] [ERROR] Failed to decrypt 'C:\Users\LENOVO\AppData\Local\Temp\tmp6lud8vwr\plain.txt.enc' with AES-256 (authentication error)
[2026-02-18 12:47:08,900] [INFO] Started folder watcher on 'C:\Users\LENOVO\AppData\Local\Temp\tmpb8ziapyu'
[2026-02-18 12:47:08,901] [INFO] Folder watcher detected new file 'C:\Users\LENOVO\AppData\Local\Temp\tmpb8ziapyu\new_file.txt'
[2026-02-18 12:47:09,403] [INFO] Stopped folder watcher
[2026-02-18 12:47:09,403] [INFO] Stopped folder watcher
[2026-02-18 12:47:09,963] [WARNING] Integrity verification failed for 'C:\Users\LENOVO\AppData\Local\Temp\tmp24b0fq6k\hash3.txt' (expected wrong, got ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad)
[2026-02-18 12:47:10,427] [INFO] Encrypted file 'rsa.txt' with RSA hybrid
[2026-02-18 12:47:10,449] [INFO] Decrypted file 'rsa.txt.enc' with RSA hybrid
[2026-02-18 12:47:12,941] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmpzpk9f48h\plain.bin' with RSA hybrid
[2026-02-18 12:47:12,966] [INFO] Decrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmpzpk9f48h\plain.bin.enc' with RSA hybrid
[2026-02-18 12:47:16,001] [INFO] Encrypted file 'C:\Users\LENOVO\AppData\Local\Temp\tmpmmxf2tvu\plain2.txt' with RSA hybrid
